n,pairs,wall_ms,kernel_ms,io_ms,io_pct,mem_used_mb
10,45,154.310,154.310,0,0,11.660
20,190,634.848,634.848,0,0,11.660
40,780,2619.881,2619.881,0,0,11.660
80,3160,10705.558,10705.558,0,0,11.660
160,12720,42885.661,42885.661,0,0,11.660
320,51040,173211.309,173211.309,0,0,11.660
640,204480,686405.765,686405.765,0,0,11.660
