n,pairs,wall_ms,kernel_ms,io_ms,io_pct,mem_used_mb
10,45,182.702,182.702,0,0,11.312
20,190,751.523,751.523,0,0,11.312
40,780,3126.502,3126.502,0,0,11.312
80,3160,12867.059,12867.059,0,0,11.312
160,12720,51297.926,51297.926,0,0,11.707
320,51040,207134.726,207134.726,0,0,11.707
640,204480,808298.504,808298.504,0,0,11.707
