n,pairs,wall_ms,kernel_ms,io_ms,io_pct,mem_used_mb
10,45,248.480,0,0,0,11455.536
20,190,241.452,0,0,0,11455.536
40,780,486.779,0,0,0,11455.536
80,3160,1232.429,0,0,0,11455.536
160,12720,4179.811,0,0,0,11455.536
320,51040,16983.801,0,0,0,11455.536
640,204480,66699.834,0,0,0,11455.536
