n,pairs,wall_ms,kernel_ms,io_ms,io_pct,mem_used_mb
10,45,7018.184,33.976,6959.915,99.170,15.274
20,190,29469.058,125.062,29244.504,99.238,15.274
40,780,119788.586,503.802,118899.566,99.258,15.274
80,3160,485888.993,2163.838,482262.011,99.254,15.274
160,12720,1965730.486,8357.045,1950616.549,99.231,15.274
